schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,prescriptions,Users can create own prescriptions,PERMISSIVE,{public},INSERT,null,(( SELECT auth.uid() AS uid) = user_id)
public,prescriptions,Users can delete own prescriptions,PERMISSIVE,{public},DELETE,(( SELECT auth.uid() AS uid) = user_id),null
public,prescriptions,Users can update own prescriptions,PERMISSIVE,{public},UPDATE,(( SELECT auth.uid() AS uid) = user_id),null
public,prescriptions,Users can view own prescriptions,PERMISSIVE,{public},SELECT,(( SELECT auth.uid() AS uid) = user_id),null
public,treatments,Users can create own treatments,PERMISSIVE,{public},INSERT,null,(( SELECT auth.uid() AS uid) = user_id)
public,treatments,Users can delete own treatments,PERMISSIVE,{public},DELETE,(( SELECT auth.uid() AS uid) = user_id),null
public,treatments,Users can update own treatments,PERMISSIVE,{public},UPDATE,(( SELECT auth.uid() AS uid) = user_id),null
public,treatments,Users can view own treatments,PERMISSIVE,{public},SELECT,(( SELECT auth.uid() AS uid) = user_id),null
public,profiles,Users can insert own profile,PERMISSIVE,{public},INSERT,null,(( SELECT auth.uid() AS uid) = id)
public,profiles,Users can update own profile,PERMISSIVE,{public},UPDATE,(( SELECT auth.uid() AS uid) = id),null
public,profiles,Users can view own profile,PERMISSIVE,{public},SELECT,(( SELECT auth.uid() AS uid) = id),null
public,medications,Users can create own medications,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM treatments
  WHERE ((treatments.id = medications.treatment_id) AND (treatments.user_id = ( SELECT auth.uid() AS uid)))))"
public,medications,Users can delete own medications,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM treatments
  WHERE ((treatments.id = medications.treatment_id) AND (treatments.user_id = ( SELECT auth.uid() AS uid)))))",null
public,medications,Users can update own medications,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM treatments
  WHERE ((treatments.id = medications.treatment_id) AND (treatments.user_id = ( SELECT auth.uid() AS uid)))))",null
public,medications,Users can view own medications,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM treatments
  WHERE ((treatments.id = medications.treatment_id) AND (treatments.user_id = ( SELECT auth.uid() AS uid)))))",null
public,pharmacy_visits,Users can create own pharmacy visits,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM treatments
  WHERE ((treatments.id = pharmacy_visits.treatment_id) AND (treatments.user_id = ( SELECT auth.uid() AS uid)))))"
